iter	RMSE
170	4.833368204
171	4.831024941
172	4.826535701
173	4.821884261
174	4.817862025
175	4.814155243
176	4.807862562
177	4.80078488
178	4.797379483
179	4.791877053
180	4.784523249
181	4.783031615
182	4.779889428
183	4.777510604
184	4.772164739
185	4.768390386
186	4.764436943
187	4.760773159
188	4.754930156
189	4.751079325
190	4.748514092
191	4.744510582
192	4.74091872
193	4.738098012
194	4.735654645
195	4.732697956
196	4.72856808
197	4.725518614
198	4.719628895
199	4.713591966
200	4.709536513
201	4.705855216
202	4.700933909
203	4.697925714
204	4.690709476
205	4.685366995
206	4.681120289
207	4.67266539
208	4.668418081
209	4.665137305
210	4.661368214
211	4.659655044
212	4.655410815
213	4.653148713
214	4.651374145
215	4.648187871
216	4.643963516
217	4.643841621
218	4.643722123
219	4.639236807
220	4.635933666
221	4.632289667
222	4.627990547
223	4.625562517
224	4.624123042
225	4.6204447
226	4.615572476
227	4.611840643
228	4.607368153
229	4.603704051
230	4.602397407
231	4.59933505
232	4.59524198
233	4.590460152
234	4.585115109
235	4.580154948
236	4.575335225
237	4.571789406
238	4.571215208
239	4.570281632
240	4.567363614
241	4.56411174
242	4.56145113
243	4.557458753
244	4.554074315
245	4.55263863
246	4.551003583
247	4.547069389
248	4.542800536
249	4.540415129
250	4.537286483
251	4.535432715
252	4.531090446
253	4.528883941
254	4.524192273
255	4.520220093
256	4.518154146
257	4.514516907
258	4.513243222
259	4.511693705
260	4.509382367
261	4.504861019
262	4.502791856
263	4.500062138
264	4.496344364
265	4.488962898
266	4.482524623
267	4.477913916
268	4.475815495
269	4.473870035
270	4.469742699
271	4.462627107
272	4.461479338
273	4.459135693
274	4.457064971
275	4.45222276
276	4.445756277
277	4.441900107
278	4.436540518
279	4.433120244
280	4.43029859
281	4.427767093
282	4.42262543
283	4.418745555
284	4.413630539
285	4.411567477
286	4.409851466
287	4.404914513
288	4.400089499
289	4.397431309
290	4.39434274
291	4.392808596
292	4.388160725
293	4.385702026
294	4.384104945
295	4.38020303
296	4.375488165
297	4.370405326
298	4.365529484
299	4.361366197
300	4.357066671
301	4.353854216
302	4.350151129
303	4.348316956
304	4.346679888
305	4.341760803
306	4.336957127
307	4.334364488
308	4.329823851
309	4.32854907
310	4.32664036
311	4.322842209
312	4.320927774
313	4.316770053
314	4.310846217
315	4.307922599
316	4.306299105
317	4.302659013
318	4.301440551
319	4.296636796
320	4.293318472
321	4.291874743
322	4.288658623
323	4.287173069
324	4.281948513
325	4.276045496
326	4.27190649
327	4.268812663
328	4.265787619
329	4.261637208
330	4.258234953
331	4.2569221
332	4.252830254
333	4.248682668
334	4.246008892
335	4.243031944
336	4.239923652
337	4.236456535
338	4.23555537
339	4.231709448
340	4.227673029
341	4.222211524
342	4.218418462
343	4.216415717
344	4.215079427
345	4.21000763
346	4.207938925
347	4.205765128
348	4.200329478
349	4.197251927
350	4.195468599
351	4.190653706
352	4.189161157
353	4.188650086
354	4.18655425
355	4.181591552
356	4.177777366
357	4.175659001
358	4.170760299
359	4.170250376
360	4.167297979
361	4.163333563
362	4.158103989
363	4.156838419
364	4.153418593
365	4.150305035
366	4.14919266
367	4.147436324
368	4.143899765
369	4.142640811
370	4.138787222
371	4.13559003
372	4.132628748
373	4.129130608
374	4.125811223
375	4.121100123
376	4.118667836
377	4.117054836
378	4.11319375
379	4.110613668
380	4.106644783
381	4.105153937
382	4.103086654
383	4.100734489
384	4.097451696
385	4.093258199
386	4.089434301
387	4.086505294
388	4.083503135
389	4.080787627
390	4.076997497
391	4.075607008
392	4.074644265
393	4.073625867
394	4.072229542
395	4.067887707
396	4.064558509
397	4.059886415
398	4.05924953
399	4.056957751
400	4.054963559
401	4.050121459
402	4.048202261
403	4.045537136
404	4.044892244
405	4.039962945
406	4.039606926
407	4.037325225
408	4.032691294
409	4.029897648
410	4.027506552
411	4.023719109
412	4.02067935
413	4.0179544
414	4.016188878
415	4.014591434
416	4.010886683
417	4.006351168
418	4.004616797
419	4.002166136
420	3.999430868
421	3.998691401
422	3.997833174
423	3.995303424
424	3.993043868
425	3.990927654
426	3.986696052
427	3.982566053
428	3.980020863
429	3.977595155
430	3.975925417
431	3.974385768
432	3.971883848
433	3.971768197
434	3.967867209
435	3.966181364
436	3.961539359
437	3.960282547
438	3.956755119
439	3.955824578
440	3.953215628
441	3.952418115
442	3.951369919
443	3.948458945
444	3.948337403
445	3.947430345
446	3.944093019
447	3.942550049
448	3.940616918
449	3.936348013
450	3.932044063
451	3.928768358
452	3.927813397
453	3.923564173
454	3.921493465
455	3.918772807
456	3.915119334
457	3.913810178
458	3.911265398
459	3.908161749
460	3.905282758
461	3.901682662
462	3.901307141
463	3.900205127
464	3.895733485
465	3.894047528
466	3.890055322
467	3.888234699
468	3.885149325
469	3.882103584
470	3.878024665
471	3.87792335
472	3.87642725
473	3.875529177
474	3.872603402
475	3.872555393
476	3.87014022
477	3.866411814
478	3.863920925
479	3.86326766
480	3.862648449
481	3.861216608
482	3.857297071
483	3.854543725
484	3.850858192
485	3.848895699
486	3.845430835
487	3.841618801
488	3.841100698
489	3.838020677
490	3.836088675
491	3.835283989
492	3.834418852
493	3.833860628
494	3.831021994
495	3.829044887
496	3.825155206
497	3.82265597
498	3.818839253
499	3.816812013
500	3.812726264
501	3.811192819
502	3.809843515
503	3.806460181
504	3.805402462
505	3.804745121
506	3.801849923
507	3.799575875
508	3.798186272
509	3.794847898
510	3.790917457
511	3.787730525
512	3.787047976
513	3.786057054
514	3.782966379
515	3.779535402
516	3.777049563
517	3.776194917
518	3.772548278
519	3.771225037
520	3.770022277
521	3.767423701
522	3.764499574
523	3.761216999
524	3.758685891
525	3.756261103
526	3.752638152
527	3.748968017
528	3.744394894
529	3.739388229
530	3.738727227
531	3.735698446
532	3.733212117
533	3.731021446
534	3.730029932
535	3.729096346
536	3.72740823
537	3.724565187
538	3.724026548
539	3.721544937
540	3.719415998
541	3.716833869
542	3.715967069
543	3.71392282
544	3.711112346
545	3.710350892
546	3.708334205
547	3.706597785
548	3.705947632
549	3.705441356
550	3.704138851
551	3.70222421
552	3.698538208
553	3.697812376
554	3.695083979
555	3.692915498
556	3.690993808
557	3.68691615
558	3.683832346
559	3.681748545
560	3.680127132
561	3.676659292
562	3.675449891
563	3.673028077
564	3.670690636
565	3.668622105
566	3.667597765
567	3.667039669
568	3.664269809
569	3.661206682
570	3.658017399
571	3.657408791
572	3.65521035
573	3.652894105
574	3.652619913
575	3.649937764
576	3.648844999
577	3.647344302
578	3.646183868
579	3.644989781
580	3.643308804
581	3.642268487
582	3.641125534
583	3.638876599
584	3.63625441
585	3.63515683
586	3.634296711
587	3.63225181
588	3.630251724
589	3.628773569
590	3.627084339
591	3.627007167
592	3.624040412
593	3.621309864
594	3.619717695
595	3.614369447
596	3.613147715
597	3.612864402
598	3.611911104
599	3.609132651
600	3.607173741
601	3.606950552
602	3.605981618
603	3.603759909
604	3.603157455
605	3.603109596
606	3.599787453
607	3.599485646
608	3.598919074
609	3.598338958
610	3.595404461
611	3.594749578
612	3.592644769
613	3.588281941
614	3.586774512
615	3.583453983
616	3.581908707
617	3.579651498
618	3.576012381
619	3.571366217
620	3.568402898
621	3.56751725
622	3.566089202
623	3.56520217
624	3.563706256
625	3.561633841
626	3.559720042
627	3.558596981
628	3.557671501
629	3.554472115
630	3.552055141
631	3.55198855
632	3.550101247
633	3.547940046
634	3.545701455
635	3.544476804
636	3.543082176
637	3.538879609
638	3.536822517
639	3.536256145
640	3.533596052
641	3.53188096
642	3.531300318
643	3.529295418
644	3.526577672
645	3.525636432
646	3.522782828
647	3.518750118
648	3.517721523
649	3.515123827
650	3.512922578
651	3.512526229
652	3.509716357
653	3.508308759
654	3.508243345
655	3.506106072
656	3.502038042
657	3.498384513
658	3.497180925
659	3.495701845
660	3.494880077
661	3.491441465
662	3.488070266
663	3.484198856
664	3.482681766
665	3.480761782
666	3.479468666
667	3.479115958
668	3.477231683
669	3.475285657
670	3.472411285
671	3.47039833
672	3.464825114
673	3.461630013
674	3.46038083
675	3.457537733
676	3.455185391
677	3.454481431
678	3.453404167
679	3.452695168
680	3.450319913
681	3.448460709
682	3.447021225
683	3.445117854
684	3.441801884
685	3.43897979
686	3.43758406
687	3.437128758
688	3.434694378
689	3.434040757
690	3.433512026
691	3.431832965
692	3.430178048
693	3.427431334
694	3.426008032
695	3.424752747
696	3.423533377
697	3.423328491
698	3.420847773
699	3.41969766
700	3.419636546
701	3.417144811
702	3.416758853
703	3.415700868
704	3.412904113
705	3.410027978
706	3.407793084
707	3.407478132
708	3.405909435
709	3.403521683
710	3.399805917
711	3.398455908
712	3.397495863
713	3.396967571
714	3.396678213
715	3.395577344
716	3.39484782
717	3.393192872
718	3.392192002
719	3.389901565
720	3.386811449
721	3.384206269
722	3.381928247
723	3.381334378
724	3.380654965
725	3.377392553
726	3.376938713
727	3.376894831
728	3.375394477
729	3.374893303
730	3.374213619
731	3.371714261
732	3.369909766
733	3.367039106
734	3.366397291
735	3.364933437
736	3.363139357
737	3.36184142
738	3.361368133
739	3.359843924
740	3.358452787
741	3.358406295
742	3.35675398
743	3.354981248
744	3.352932582
745	3.349990251
746	3.347794162
747	3.347223558
748	3.346090825
749	3.341688089
750	3.337679472
751	3.336548208
752	3.334953427
753	3.332213061
754	3.330717568
755	3.327938487
756	3.327095934
757	3.324653051
758	3.322267392
759	3.318609708
760	3.317331641
761	3.316900914
762	3.314465523
763	3.313655613
764	3.312399498
765	3.310892534
766	3.310244886
767	3.309778741
768	3.308810753
769	3.308265822
770	3.307572878
771	3.305997198
772	3.304521799
773	3.302170748
774	3.301029596
775	3.298283632
776	3.298090327
777	3.294722541
778	3.292966024
779	3.292177713
780	3.290706452
781	3.288177417
782	3.287663763
783	3.283415074
784	3.280411485
785	3.278133409
786	3.277865937
787	3.277265783
788	3.275133435
789	3.273033234
790	3.27277208
791	3.272244218
792	3.270583828
793	3.268686331
794	3.266294881
795	3.264191959
796	3.26059601
797	3.258865791
798	3.257984252
799	3.255816343
800	3.253256041
801	3.251188547
802	3.247940832
803	3.246176987
804	3.245078053
805	3.243147774
806	3.239903851
807	3.238625707
808	3.237249511
809	3.236980651
810	3.236778399
811	3.233836994
812	3.232918463
813	3.231542758
814	3.229755403
815	3.229319309
816	3.227595154
817	3.225354257
818	3.225040395
819	3.224270704
820	3.223377677
821	3.220586718
822	3.218171099
823	3.217551631
824	3.214856658
825	3.212840599
826	3.211784481
827	3.208693441
828	3.20648889
829	3.205416057
830	3.204694148
831	3.203135277
832	3.201467453
833	3.201051999
834	3.200934295
835	3.199831578
836	3.199404785
837	3.197056627
838	3.196137575
839	3.194557357
840	3.19329761
841	3.192590851
842	3.190754775
843	3.189702442
844	3.188566886
845	3.186518317
846	3.185897757
847	3.185713147
848	3.182722297
849	3.181637208
850	3.180690867
851	3.17869458
852	3.176856338
853	3.173375548
854	3.172650695
855	3.171871172
856	3.169944692
857	3.168418774
858	3.166675166
859	3.164375309
860	3.163050823
861	3.162382355
862	3.159936265
863	3.158722539
864	3.157837546
865	3.155978665
866	3.154053334
867	3.152503622
868	3.15014827
869	3.148039289
870	3.146035402
871	3.141828571
872	3.140989644
873	3.138142841
874	3.13637252
875	3.134436075
876	3.132070122
877	3.130383109
878	3.126858434
879	3.124738138
880	3.122935412
881	3.12142708
882	3.118832883
883	3.11865644
884	3.117488794
885	3.116892484
886	3.115781122
887	3.113447408
888	3.110694332
889	3.108798279
890	3.106090084
891	3.105070766
892	3.102353925
893	3.09933616
894	3.098983649
895	3.097896389
896	3.094786822
897	3.093969921
898	3.093459089
899	3.092863257
900	3.091256309
901	3.089006111
902	3.087384515
903	3.086681754
904	3.085108826
905	3.084052598
906	3.081656555
907	3.081231504
908	3.0800825
909	3.078423345
910	3.077064294
911	3.076068223
912	3.074743727
913	3.074078836
914	3.070890112
915	3.069687415
916	3.066537588
917	3.065187614
918	3.063597973
919	3.062412519
920	3.060146904
921	3.058754032
922	3.058536566
923	3.057485831
924	3.05491355
925	3.05380627
926	3.052785642
927	3.052663661
928	3.050894659
929	3.049821978
930	3.047359708
931	3.046500057
932	3.045740887
933	3.043931901
934	3.042325761
935	3.040911092
936	3.039016027
937	3.037096548
938	3.034232184
939	3.033774056
940	3.033187244
941	3.03224505
942	3.031894408
943	3.030606233
944	3.029092893
945	3.028886661
946	3.026406674
947	3.02533415
948	3.024005806
949	3.021803689
950	3.020053427
951	3.01612041
952	3.014865307
953	3.012091096
954	3.010395211
955	3.010212029
956	3.008389865
957	3.007748188
958	3.004904577
959	3.003199098
960	3.002567087
961	3.00135706
962	3.000397936
963	2.997272128
964	2.995212333
965	2.99403483
966	2.992901366
967	2.992022692
968	2.991208427
969	2.989779563
970	2.988884788
971	2.986304108
972	2.984734635
973	2.983677057
974	2.980643654
975	2.979420243
976	2.978368051
977	2.976283344
978	2.976177413
979	2.975160924
980	2.973540505
981	2.972430005
982	2.970179382
983	2.96896247
984	2.966578691
985	2.963651338
986	2.961395539
987	2.959804423
988	2.959382555
989	2.959080451
990	2.958420241
991	2.958134243
992	2.955475115
993	2.952855542
994	2.951403139
995	2.950626863
996	2.947943536
997	2.947581887
998	2.945820344
999	2.943460872
